# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
1G4	2H2	-1	-2 -1 -1 0 0 -1 0 2
1G4	2K	-1	-2 0 0 2 -1 -1
1H1	2D1	1	-3 0 0 -1 0 1
1H1	2D2	-1	-3 1 0 -1 -1 1
1H1	2F2	0	
1H1	2G1	-1	1 2 0 -1 -1
1H1	2G2	1	2 1 -1 -1 0 -1
1H1	2H1	-1	-3
1H1	2H2	-1	-3 0 -1 -1 0 -1 2
1H1	2I	-1	-2 0 1 -1 -1
1H1	2K	1	-1 1 0 -1 1 -1
1H1	2L	1	-1 0 1 -1 -1 -1 1
1H2	2D2	1	-2 0 0 1 -1
1H2	2F2	-1	-3 0 1 1 -1
1H2	2G2	1	-3 0 -1 1
1H2	2H2	-1	-2 1 -1 -1
1H2	2K	1	-4 0 0 1 -1
1H2	2L	-1	-4 1 1 -1 -1 0 1
1I1	2F1	1	-2 -1 1
1I1	2F2	1	-3 -1 -1 2 -1
1I1	2G1	-1	-2 2 -1 0 -1
1I1	2G2	-1	-3 1 0 0 0 -1
1I1	2H1	-1	-1 -2 -1 1
1I1	2H2	-1	-1 -2 0 0 0 -1
1I1	2I	-1	1 1 -1 0 -1
1I1	2K	-1	-2 1 0 0 -1 -1 1
1I1	2L	-1	-2 1 -1 0 0 -1 1
1I2	2F2	-1	-7 0 -1 1 -1
1I2	2G1	-1	4 1 -1 -1 -1
1I2	2G2	1	-7 2 0 -1 0 -1
1I2	2H1	1	3 -1 -1
1I2	2H2	1	-5 -1 0 -1 0 -1
1I2	2I	-1	7 0 -1 -1 -1
1I2	2K	1	-6 2 0 -1 -1 -1 1
1I2	2L	1	-6 2 -1 -1 0 -1 1
1I3	2F2	1	-7 0 1 0 -1 0 1
1I3	2G2	1	-7 0 0 2 0 -1 1
1I3	2H2	-1	-5 1 0 0 0 -1 1
1I3	2K	-1	-6 0 0 4 -1 -1
1I3	2L	1	-6 2 1 0 0 -1
1K	2G1	1	1 2 0 -1 -1
1K	2G2	-1	2 1 -1 -1 0 -1
1K	2H1	-1	-3
1K	2H2	1	-1 0 -1 -1 2 -1
1K	2I	-1	-3 2 0 -1 -1 0 1
1K	2K	-1	-4 0 0 -1 0 -1 1
1K	2L	1	-4 0 0 -1 0 -1 1 1
1L1	2H1	-1	-3
1L1	2H2	-1	-1 0 1 -1 0 -1
1L1	2I	1	-3 3 0 -1
1L1	2K	-1	-4 1 1 -1 0 -1 0 1
